;J1;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J2;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J3;J30;J31;J32;J33;J34;J35;J36;J37;J38;J39;J4;J40;J41;J42;J43;J44;J45;J46;J47;J48;J49;J5;J50;J51;J52;J53;J54;J55;J56;J57;J58;J59;J6;J60;J61;J62;J63;J64;J65;J66;J67;J68;J69;J7;J70;J71;J72;J73;J74;J75;J76;J77;J78;J79;J8;J80;J81;J82;J83;J84;J85;J86;J87;J88;J89;J9;J90;J91;J92;J93;J94;J95;J96;J97;J98
Angel;exotique sucré agréable;Gr3;Gr2;fleuri doux ;fruité fort ;vanillé épicé esprit-des-îles;à-manger sucré;nourriture épice;sucré  ;dynamique jeunesse vie;homme ;Gr3;puissant masculin médicament;Gr2;particulier  ;Gr4;sucré ecoeurant fort;fort  ;boisé nature ;fort;doux agréable ;femme ;soirée ;alcool;fort;épicé chocolat ;printemps;âcre fort;intense ;Gr5;Gr3;agressif;fruité pourri;Gr1;Gr6;doux rafiné;fruité fort;sucré féminin jeune;fruité sucré attirant jeune ;fort pain-d épices amande;agressif piquant lourd ;amer piquant;fort;corcé fort ;entetant ;fleuri ;miel ;vanillé ;fruité sucré;piquant;Gr4;vanillé ;angel fleuri prononcé mélange ;Gr3;sucré caramelisé ;Gr6;fort femme-mûre;chaud doux sucré femme_40_ans;lourd fort ;Gr3;boisé masculin;sucré ;fort    ;fruité;épicé ;fort attaquant;hiver ;chaud vanillé;chaud ;épicé mucs camphre;épicé ;odeur-prenante ;suave subtil;entetant musc cuir;sucré brulé;vanillé sucré Thierry_Mugler;doux fruité;poivré fort sucré épicé;chimique grand-mère ;tabac-froid  ;fruité chocolat angel lolita_lempicka;sucré éther fleuri alcool baba fleur-d oranger guimauve;vanille;Gr1;lourd;fleuri;poivré epicé;vieille fort;fleuri grand-mère ;masculin;érotique;troisième_âge ;fleuri fort;très-doux  ;barbe-à-papa  ;chaud sucré;fête;caractère 
Aromatics Elixir;fort alcoolisé grand-mère;Gr2;Gr2;fort homme ;capiteux grand-mère ;rude fort ;le-vieux ;ménager cire;chimique non-naturel artificiel;agressif grand-mère ;talc grand-mère;Gr3;femme-d âge-mûr fleuri suffocant;hopital pharmaceutique;fort mauvais ;Gr2;artificiel pharmaceutique entretien;toilettes ancien eau-de-cologne;boisé nature ;Gr1;désagréable piquante fort;doux fruité;fort ;alcool;piquant;femme  ;printemps;âcre fort;le-vieux ;Gr4;Gr3;agressif;fruité pourri;agressif piquant;Gr5;agressif violent;eau-de-cologne ;musc ambré vieux;intense fort alcool  ;fort pain-d épices amande;agressif piquant lourd ;WC fort;fort;fort amer ;entetant ;fleuri ;fleuri rose;rose fleur;fruité sucré;piquant;fort poivré;fort fleuri;poivré mentholé fort acide ;Gr1;fleuri intérieur poudré;savon fort;fort femme-mûre;grand-mère   ;lourd fort ;Gr3;boisé masculin;fort chimique;fort masculin lourd éventé ecoeurant;fort;vieux fort;fort attaquant;sucré été;patchouli entêtant;Gr5;ambre  vieux;piquant ;immonde fort;agressif chimique;entetant musc cuir;grand-mère ;fleuri grand-mère ;fort ;sucré fort fleuri ;chimique grand-mère ;agressif fort ;périmé   ;sucré éther fleuri alcool baba fleur-d oranger guimauve;rose;Gr5;Gr1;epicé;entretien ;vieille fort;fleuri grand-mère ;lourd;érotique;léger ;chimique ;aigre agressif entretien;doux  ;Gr3;volupté;femme-mûre 
Chanel 5;savon propre ;Gr2;Gr2;Gr4;capiteux grand-mère ;toilettes  ;savon ;connu classique;chimique non-naturel artificiel;dynamique jeunesse vie;talc grand-mère;Gr1;puissant masculin médicament;hopital pharmaceutique;fort mauvais ;Gr2;artificiel pharmaceutique entretien;toilettes ancien eau-de-cologne;Gr3;léger;Gr5;fort ;fort ;alcool;savon;femme  ;frais;citronné ;toilette ;savon frais;Gr1;savon;savon-de-marseille ;agressif piquant;Gr5;médicament plante;WC ;musc ambré vieux;intense mal-de-tête fleuri lila enterement;doux fleuri grand-mère;fraîcheur doux léger nature;WC fort;exotique;fort amer ;fort ;parfum-à-WC ;Gr4;vanillé ;fruité sucré;piquant;naturel doux;fort fleuri;savon fort prononcé  ;Gr2;fleuri intérieur poudré;savon fort;savon toilettes;vieux savon  ;lourd fort ;Gr3;boisé masculin;fort chimique;fort masculin lourd éventé ecoeurant;fort;vieux fort;savon ;hiver ;patchouli entêtant;Gr2;ambre  vieux;piquant ;immonde fort;agressif chimique;toilettes  ;grand-mère ;fleuri grand-mère ;attaque ;sucré fort  ;chimique grand-mère ;agressif fort ;périmé   ;Noel USA vieux baba pot-pourri bouquet grand-mère ;rose;Gr4;entêtant;epicé;entretien ;vieille fort;fleuri grand-mère ;lourd;frais;troisième_âge ;chimique ;aigre agressif entretien;doux  ;Gr3;volupté;eau-de-cologne 
Cinéma;fleuri lila ;Gr1;Gr3;fleuri artificiel herbe;fruité moyen ;sucré  ;doux ;nourriture épice;léger doux ;dynamique jeunesse vie;fruité ;Gr4;jeune frais fleuri;Gr1;discret fleuri faible;Gr2;sucré ecoeurant fort;fleuri sucré ;frais jeune fruité;Gr2;Gr4;Gr6;soirée ;chaud;Gr3;épicé chocolat ;fruité;citronné ;le-vieux ;vanille ;Gr2;fleuri;fleuri ;Gr1;Gr3;doux rafiné;sucré ;sucré féminin jeune;fleur-douce enivrant sucré nature fraîcheur;doux fleuri ;fraîcheur doux léger nature;discret léger;léger;corcé fort ;fort ;chocolat grand-mère;fleuri rose;rose fleur;poivré ;été;naturel doux;doux frais;fruité sucré doux léger ;Gr5;agrume  ;doux fruité;frais piquant;chaud doux sucré femme_40_ans;fleuri léger ;doux;fleuri ;fruité ;léger fleuri   ;chimique;doux ;sucré ;sucré été;Gr3;fleuri frais;épicé mucs camphre;fleuri acide;odeur-prenante ;fruité ;sucré fruité ;sucré brulé;fleuri  ;fleuri champêtre;sucré fort fleuri ;chevrefeuille grossier ;doux  ;hiver voluptueux chaud ;grand-mère transpiration toilettes    ;rose;Gr1;léger;fleuri;poivré epicé;normaux ;doux  ;lourd;frais;léger discret;fleuri faible;doux  ;barbe-à-papa  ;piquant ;fuité;caractère 
Coco Mademoiselle;savon propre ;Gr4;Gr3;fleuri doux ;fruité moyen ;douceur fleuri ;doux ;connu classique;léger doux ;dynamique jeunesse vie;discret ;Gr3;jeune frais fleuri;Gr1;discret fleuri faible;Gr1;léger fruité ;doux fleuri ;doux  ;léger;désagréable piquante fort;doux fruité;nature frais;alcool;doux;fleuris  ;montagne;piquant ;fleuri ;Gr7;Gr2;plante;Gr2;doux ;Gr2;sensuel envoutant;sucré ;femme spécifique ;fleuri fraîcheur doux sucré ;doux fleuri ;fort piquant intense ;fruité doux;exotique;frais léger fruité;fleuri doux;Gr4;fruité ;Gr5;fruité sucré;Gr3;naturel doux;fleuri fruité;fruité sucré doux léger ;Gr5;sucré fleuri ;doux fruité;fort femme-mûre;fleuri chaud  ;doux épicé fleuri;doux;fraîcheur linge_propre;fleuri ;léger fleuri   ;masculin;doux ;doux ;sucré été;Gr5;fruité ;fruité sucré frais;bébé ;doux discret;fruité ;vif herbes-fougères;citrique ;fleuri  ;doux fruité;faible amer  ;fleuri rose délicat;agressif fort ;été frais  ;vétiver plante-verte arbre frais printemps herbe-coupée fougère;rose;Gr2;Gr1;fleuri;fleuri ;normaux ;doux  ;lourd;érotique;léger discret;fleuri faible;très-doux  ;nature doux piquant;piquant ;fuité;léger naturel
J adore (EP);savon propre ;Gr2;Gr1;fleuri doux ;sucré faible ;douceur fleuri ;fleuri ;connu classique;sucré  ;doux agréable bébé;fruité ;fort;femme-d âge-mûr fleuri suffocant;hopital pharmaceutique;discret fleuri faible;Gr1;léger fruité ;âcre  ;doux  ;Gr1;doux agréable ;bain douche;doux ;chaud;doux;fleuris  ;montagne;âcre fort;fruité sucré;savon frais;Gr2;fleuri;fleuri ;doux ;gel-douche fleuri fruité;fleuri prononcé;Gr8;fleuri  ;doux propreté fraîcheur savon ;frais citrus WC;fraîcheur doux léger nature;discret léger;exotique;frais léger fruité;fleuri doux;fleuri ;fruité ;rose fleur;poivré ;été;naturel doux;doux frais;fleuri sucré intense prononcé chaleureux;Gr2;sucré caramelisé ;lavande ;frais piquant;chaud doux sucré femme_40_ans;fleuri léger ;léger;fruité ;fruité ;léger fleuri   ;fruité;Gr5;Gr3;sucré été;léger fleuri;fleuri frais;fleuri sucré ;fruité ;immonde fort;doux végétal;sucré fruité ;citrique ;solvant chimique ;doux fruité;faible amer  ;fleuri rose délicat;doux  ;été frais  ;Noel USA vieux baba pot-pourri bouquet grand-mère ;muguet;Gr2;sucré;sucré;fruité ;discret ;hypoallergénique bébé pharmacie;fleuri;érotique;léger ;fleuri fort;discret  ;doux  ;marine doux;fuité;fruité discret
J adore (ET);savon propre ;Gr3;Gr1;fleuri artificiel herbe;sucré faible ;douceur fleuri ;fleuri ;connu classique;léger doux ;dynamique jeunesse vie;discret ;Gr4;femme-d âge-mûr fleuri suffocant;Gr1;discret fleuri faible;Gr1;léger fruité ;fleuri sucré ;doux  ;léger;doux non-persistant ;bain douche;nature frais;fort;doux;fleuris  ;fruité;fruité ;fruité sucré;savon frais;Gr4;fleuri;savon-de-marseille ;Gr1;gel-douche fleuri fruité;fleuri prononcé;Gr8;fleuri  ;doux propreté fraîcheur savon ;fort fleuri ;fraîcheur doux léger nature;discret léger;exotique;frais léger fruité;fleuri doux;fleuri ;fleuri rose;vanillé ;fruité sucré;Gr3;naturel doux;doux frais;fleuri sucré intense prononcé chaleureux;Gr4;sucré caramelisé ;lavande ;doux ;chaud doux sucré femme_40_ans;doux épicé fleuri;léger;fleuri ;fleuri ;léger fleuri   ;fruité;doux ;Gr3;sucré été;Gr5;fruité ;fleuri sucré ;fruité ;doux discret;doux végétal;vif herbes-fougères;citrique ;solvant chimique ;doux fruité;sucré fort  ;fleuri rose délicat;toilettes  ;été frais  ;Noel USA vieux baba pot-pourri bouquet grand-mère ;muguet;Gr3;lourd;fleuri;fruité ;normaux ;doux  ;fleuri;corsé;léger ;fleuri faible;discret  ;doux  ;marine doux;passion;fruité discret
L instant;Gr3;Gr1;Gr1;fleuri doux ;fruité fort ;sucré  ;le-vieux ;fleuri ;sucré  ;agressif grand-mère ;talc grand-mère;fort;jeune frais fleuri;Gr2;fort  ;Gr2;sucré ecoeurant fort;âcre  ;Gr3;fort;nourriture  ;doux fruité;doux ;chaud;doux;femme  ;montagne;piquant ;pistache amande;vanille ;Gr4;plante;savon-de-marseille ;doux ;Gr2;sensuel envoutant;Gr2;épicé chaud ;fruité sucré attirant jeune ;fort fleuri ;agressif piquant lourd ;discret léger;léger;fort amer ;fort ;chocolat grand-mère;fruité ;vanillé ;poivré ;Gr3;Gr3;vanillé ;fleuri sucré intense prononcé chaleureux;Gr5;acidité piquant ;lavande ;doux ;chaud doux sucré femme_40_ans;doux épicé fleuri;léger;fleuri ;fruité ;ecoeurant fort   ;eau-de-cologne-pour-grand-mères;Gr5;sucré ;sucré été;Gr3;Gr5;fruité sucré frais;bébé ;doux discret;doux végétal;lourd ambre épicé;sucré brulé;fleuri  ;fleuri champêtre;faible amer  ;chevrefeuille grossier ;fleuri doux vieux;hiver voluptueux chaud ;grand-mère transpiration toilettes    ;vanille;lourd;sucré;neutre;entretien ;discret ;excentrique  ;fleuri;corsé;Gr6;fleuri fort;doux  ;doux  ;marine doux;printemps;femme-mûre 
Lolita Lempicka;exotique sucré agréable;Gr1;Gr3;fleuri doux ;fruité moyen ;vanillé épicé esprit-des-îles;à-manger sucré;nourriture épice;sucré  ;doux agréable bébé;fruité ;Gr3;jeune frais fleuri;Gr2;discret fleuri faible;Gr4;sucré ecoeurant fort;fleuri  ;frais jeune fruité;léger;doux non-persistant ;bain douche;soirée ;chaud;Gr3;épicé chocolat ;fruité;fruité ;intense ;vanille ;Gr4;fleuri;fleuri ;doux fruité;Gr3;doux rafiné;sucré ;sucré féminin jeune;originalité équilibre tendresse douceur ;doux fleuri ;fraîcheur doux léger nature;fruité doux;léger;corcé fort ;fort ;Gr5;fruité ;fruité fruits-rouges;poivré ;piquant;fort poivré;bonbon sucré;fruité sucré doux léger ;Gr3;sucré caramelisé ;Gr8;fort femme-mûre;frais fleuri  ;doux épicé fleuri;doux;fleuri ;fruité ;fort    ;fruité;épicé ;fort attaquant;hiver ;chaud vanillé;chaud ;épicé mucs camphre;poivré ;fleuri ;fruité ;lourd ambre épicé;sucré brulé;vanillé sucré Thierry_Mugler;Gr4;faible amer  ;chevrefeuille grossier ;fleuri doux vieux;fruité chocolat angel lolita_lempicka;Noel USA vieux baba pot-pourri bouquet grand-mère ;Gr2;Gr4;léger;epicé;poivré epicé;normaux ;doux  ;fleuri;estival;neutre discret;fleuri faible;très-doux  ;barbe-à-papa  ;chaud sucré;asceptique;caractère 
Pleasures;Gr3;Gr2;Gr1;fort homme ;fruité fort ;sucré  ;fleuri ;fleuri ;pollen  ;dynamique jeunesse vie;discret ;Gr4;femme-d âge-mûr fleuri suffocant;Gr1;discret fleuri faible;Gr3;naturel  ;fleuri  ;doux  ;léger;Gr4;sucré ;doux ;fort;doux;fleuris  ;fruité;fruité ;fleuri ;Gr6;Gr4;fleuri;savon-de-marseille ;doux fruité;gel-douche fleuri fruité;fleuri prononcé;Gr7;fleuri  ;intense mal-de-tête fleuri lila enterement;frais citrus WC;fraîcheur doux léger nature;amer piquant;exotique;frais léger fruité;fleuri doux;Gr5;fleuri rose;vanillé ;poivré ;piquant;naturel doux;fleuri fruité;fleuri sucré intense prononcé chaleureux;Gr4;fleuri intérieur poudré;Gr5;fort femme-mûre;frais fleuri  ;fleuri léger ;léger;fleuri ;fleuri ;léger fleuri   ;fruité;nature ;doux ;sucré été;léger fleuri;fleuri frais;fleuri sucré ;fleuri acide;doux discret;suave subtil;vif herbes-fougères;citrique ;muguet  ;fleuri champêtre;sucré fort  ;chevrefeuille grossier ;doux  ;été frais  ;vétiver plante-verte arbre frais printemps herbe-coupée fougère;muguet;Gr3;Gr5;fleuri;fleuri ;discret ;fleuri grand-mère ;fleuri;fruité;léger ;fleuri fort;aigre agressif entretien;nature doux piquant;marine doux;printemps;léger naturel
Pure Poison;fleuri lila ;Gr3;Gr3;fleuri doux ;acidulé désodorisant ;douceur fleuri ;doux ;fleuri ;léger doux ;doux agréable bébé;fruité ;fort;jeune frais fleuri;Gr2;discret fleuri faible;Gr1;léger fruité ;âcre  ;doux  ;Gr1;Gr4;femme ;doux ;fort;piquant;hopital toilettes personnes-agées;frais;citronné ;toilette ;savon frais;Gr1;savon;fleuri ;doux fruité;Gr2;fin suave;Gr7;fleuri  ;intense mal-de-tête fleuri lila enterement;doux fleuri grand-mère;agressif piquant lourd ;discret léger;exotique;fort amer ;fleuri doux;Gr4;citron ;fruité fruits-rouges;fruité sucré;été;naturel doux;fleuri fruité;fleuri sucré intense prononcé chaleureux;Gr4;fleuri intérieur poudré;Gr7;fleuri ;frais fleuri  ;doux épicé fleuri;doux;fraîcheur linge_propre;fleuri ;léger fleuri   ;fort;Gr5;sucré ;sucré été;Gr5;Gr2;fruité sucré frais;bébé ;fleuri ;suave subtil;sucré fruité ;grand-mère ;fleuri  ;fleuri champêtre;sucré fort  ;chimique grand-mère ;doux  ;hiver voluptueux chaud ;Noel USA vieux baba pot-pourri bouquet grand-mère ;vanille;lourd;léger;fleuri;fleuri ;normaux ;hypoallergénique bébé pharmacie;lourd;fruité;fort ennivrant;fleuri faible;doux  ;nature doux piquant;marine doux;volupté;léger caractère
Shalimar;fort alcoolisé grand-mère;Gr2;Gr2;fleuri artificiel herbe;fort lavande eau-de-cologne;renfermé agressif ;le-vieux ;ménager cire;léger doux ;agressif grand-mère ;homme ;Gr4;puissant masculin médicament;citronnée ;particulier fort médicament;Gr3;artificiel pharmaceutique entretien;doux fleuri ;boisé nature ;Gr1;nourriture  ;cire ;fort ;fort;doux;oriental  ;hopital;Gr5;anti-moustique eau-de-cologne;sucré ;Gr3;plante;Gr2;agressif piquant;citronnelle  ;huile-essentielle mentholé;doux ;musc ambré vieux;originalité équilibre tendresse douceur ;frais fleuri ;agressif piquant lourd ;WC fort;fort;fort amer ;fort ;fleuri ;citron ;agrume ;fruité sucré;été;fort poivré;bonbon sucré;poivré mentholé fort acide ;Gr1;acidité piquant ;épicé ;savon toilettes;vieux savon  ;lourd fort ;Gr3;boisé masculin;fort chimique;ecoeurant fort   ;masculin;vieux fort;fort attaquant;hiver ;patchouli entêtant;Gr5;ambre  vieux;épicé ;fleuri ;agressif chimique;entetant musc cuir;grand-mère ;fleuri grand-mère ;fort ;poivré fort sucré épicé;chimique grand-mère ;fleuri doux vieux;périmé   ;grand-mère transpiration toilettes    ;rose;Gr5;médicament;métallique;poivré epicé;vieille fort;oriental  ;masculin;frais;nauséabond ;fort ;aigre agressif entretien;désodorisant  ;fleuri désodorisant;fuité;pourri décomposition
