Produit;Juge;Rang;intensite;frais;fleuri;sucre;boise;vanille;epice;fruite;entetant;agrume;animal;vegetal
LolitaLempika;28;5;8;2;7;5;6;6;5;7;6;7;3;6
JAdore;28;6;6;7;8;7;5;8;7;4;6;3;4;7
CocoMademoiselle;28;7;8;3;6;5;6;7;7;4;7;5;4;4
Shalimar;28;8;9;1;4;3;8;7;8;2;8;2;6;3
Angel;28;9;5;8;4;4;4;5;4;7;6;4;4;5
MissDior;28;10;7;7;8;7;7;6;7;4;6;4;6;5
ChanelN5;28;11;8;2;6;7;8;7;7;7;8;3;7;4
Trésor;28;12;7;6;7;7;7;7;7;6;7;3;6;4
AmorAmor;29;1;7;2;8;7;0;3;8;3;9;0;0;0
LaPetiteRobeNoire;29;2;5;3;2;1;7;0;2;0;4;0;0;5
Flower;29;3;3;8;6;4;8;6;4;1;1;0;0;2
JAdore;29;4;6;8;5;7;1;7;7;7;3;0;0;3
HypnoticPoison;29;5;5;1;1;2;9;9;0;1;8;0;4;0
Shalimar;29;6;8;3;0;0;9;0;6;2;5;6;0;0
LolitaLempika;29;7;7;3;4;3;6;0;6;2;8;0;0;0
MissDior;29;8;5;7;6;2;6;6;0;2;3;0;0;6
CocoMademoiselle;29;9;5;8;5;4;1;2;5;3;3;0;0;5
Trésor;29;10;4;1;1;0;6;7;0;5;1;3;4;5
Angel;29;11;6;1;0;0;10;8;9;3;5;2;3;1
ChanelN5;29;12;6;7;8;2;5;2;0;3;3;0;0;7
LaPetiteRobeNoire;30;1;7;5;2;9;2;3;2;4;6;2;2;1
JAdore;30;2;8;8;8;4;3;1;2;4;8;3;1;5
AmorAmor;30;3;5;8;5;5;3;1;5;6;5;8;1;3
Shalimar;30;4;10;1;1;0;5;1;8;1;10;1;6;2
Flower;30;5;6;8;6;7;1;1;2;2;7;2;1;1
MissDior;30;6;8;8;8;8;1;2;2;5;8;2;0;0
HypnoticPoison;30;7;7;3;6;10;1;8;1;1;9;1;1;1
Trésor;30;8;4;4;4;5;1;1;1;2;5;8;1;3
LolitaLempika;30;9;8;7;7;9;2;1;1;4;9;1;1;3
ChanelN5;30;10;9;9;1;1;1;0;0;7;10;9;2;3
CocoMademoiselle;30;11;9;8;8;7;1;1;3;4;8;1;1;2
Angel;30;12;9;2;2;0;8;1;4;1;9;1;6;3
JAdore;31;1;7;9;6;2;2;1;0;3;5;5;1;6
Shalimar;31;2;9;3;0;5;8;1;7;7;8;6;9;8
LaPetiteRobeNoire;31;3;4;8;7;8;3;3;0;6;9;5;2;7
MissDior;31;4;8;6;8;7;6;5;1;3;7;8;6;8
AmorAmor;31;5;7;9;10;3;5;2;2;6;8;5;3;6
Trésor;31;6;7;3;6;2;6;2;6;4;9;2;8;2
Flower;31;7;7;9;10;2;3;1;2;10;8;6;5;8
ChanelN5;31;8;9;1;3;3;8;4;2;0;9;2;9;4
HypnoticPoison;31;9;8;4;4;8;9;6;4;3;7;3;7;5
Angel;31;10;8;3;4;3;7;2;1;6;7;4;7;6
LolitaLempika;31;11;6;8;7;5;2;6;5;4;6;7;3;7
CocoMademoiselle;31;12;6;4;5;5;7;3;4;7;8;7;7;7
Shalimar;32;1;8;7;7;4;6;2;2;3;2;7;1;8
MissDior;32;2;6;3;8;4;6;3;7;3;8;4;2;6
JAdore;32;3;8;2;3;2;3;2;1;2;9;7;1;2
Trésor;32;4;6;2;2;7;5;2;7;3;8;2;6;7
LaPetiteRobeNoire;32;5;7;7;8;5;4;7;7;7;6;3;4;7
ChanelN5;32;6;9;3;3;2;2;1;1;1;9;2;1;2
AmorAmor;32;7;6;6;6;6;8;2;7;8;7;8;3;7
Angel;32;8;6;3;6;3;7;3;4;7;7;7;3;6
Flower;32;9;7;6;3;2;3;2;2;2;6;2;3;2
CocoMademoiselle;32;10;6;6;4;6;7;3;6;6;6;6;2;7
HypnoticPoison;32;11;7;6;4;6;3;7;7;4;7;3;3;3
LolitaLempika;32;12;6;6;7;6;6;7;8;3;7;2;4;4
MissDior;33;1;7;8;5;2;4;2;2;2;6;6;1;5
Trésor;33;2;7;0;1;1;6;1;4;1;10;8;3;3
Shalimar;33;3;8;1;2;0;10;1;9;0;10;0;3;8
ChanelN5;33;4;8;3;3;1;0;1;5;4;9;5;0;8
JAdore;33;5;7;3;7;3;0;4;5;8;5;4;2;4
Angel;33;6;10;6;9;2;8;2;8;1;6;8;3;4
LaPetiteRobeNoire;33;7;7;7;4;0;0;2;4;7;8;8;2;5
CocoMademoiselle;33;8;1;8;5;4;1;4;7;8;2;3;1;4
AmorAmor;33;9;8;4;4;7;0;4;2;8;6;7;3;2
LolitaLempika;33;10;8;1;3;2;2;4;2;7;7;2;3;4
Flower;33;11;7;7;5;2;5;6;5;2;6;2;3;4
HypnoticPoison;33;12;5;7;7;4;6;1;5;3;7;4;5;3
Trésor;34;1;9;3;4;5;6;3;7;5;10;5;7;3
ChanelN5;34;2;9;1;2;1;8;3;4;2;10;5;9;5
MissDior;34;3;6;7;8;7;10;6;7;9;7;7;6;8
Angel;34;4;10;4;6;7;10;4;8;4;10;3;6;5
Shalimar;34;5;6;4;8;5;9;4;8;3;10;3;9;7
CocoMademoiselle;34;6;5;8;9;10;7;7;5;9;7;8;6;6
JAdore;34;7;2;6;4;5;7;5;8;8;10;9;1;4
LolitaLempika;34;8;7;9;10;10;5;7;5;10;7;8;4;7
LaPetiteRobeNoire;34;9;9;7;7;8;7;7;8;9;9;8;8;5
HypnoticPoison;34;10;5;1;4;6;10;10;6;7;8;3;7;8
AmorAmor;34;11;8;10;10;10;5;6;9;9;9;9;7;10
Flower;34;12;8;5;6;7;10;5;8;3;9;5;8;8
ChanelN5;35;1;9;3;8;7;6;2;6;6;9;2;6;7
Angel;35;2;9;6;6;9;1;9;3;10;7;5;0;7
Trésor;35;3;6;8;6;6;8;2;9;6;7;3;3;7
CocoMademoiselle;35;4;10;6;3;3;9;1;9;5;10;7;3;2
MissDior;35;5;8;7;9;10;1;5;3;8;7;6;0;5
LolitaLempika;35;6;9;5;8;8;6;4;6;8;7;5;2;7
Shalimar;35;7;9;2;4;2;9;1;10;2;10;6;6;6
HypnoticPoison;35;8;7;7;7;7;2;9;3;5;5;7;1;2
JAdore;35;9;9;8;8;7;2;2;1;7;7;7;1;3
Flower;35;10;8;7;10;7;4;5;7;8;6;6;0;7
LaPetiteRobeNoire;35;11;7;8;9;9;2;6;5;7;5;8;1;3
AmorAmor;35;12;8;8;7;7;4;4;5;7;6;9;1;5
Angel;36;1;6;2;2;4;3;3;7;3;8;2;5;6
CocoMademoiselle;36;2;7;6;5;6;6;5;2;6;7;5;3;7
ChanelN5;36;3;5;6;6;2;3;2;2;3;2;4;2;2
LolitaLempika;36;4;1;2;3;4;2;6;3;3;2;2;5;2
Trésor;36;5;4;7;6;4;2;1;1;3;2;4;2;3
HypnoticPoison;36;6;3;2;2;5;1;4;2;3;2;4;3;3
MissDior;36;7;7;6;6;6;5;3;4;5;4;4;4;3
Flower;36;8;6;5;4;6;4;3;3;4;4;3;3;5
Shalimar;36;9;5;3;5;4;3;3;6;3;5;3;4;3
AmorAmor;36;10;4;7;6;NA;7;3;2;6;4;6;2;4
JAdore;36;11;6;5;5;6;5;4;3;4;3;4;3;4
LaPetiteRobeNoire;36;12;3;3;2;6;4;7;3;3;3;2;4;3
Angel;37;1;8;5;5;7;5;5;5;4;8;4;9;3
Flower;37;2;8;6;8;6;7;4;4;5;7;4;6;7
LolitaLempika;37;3;9;5;6;8;7;5;5;4;8;4;8;4
Trésor;37;4;6;7;8;6;7;5;4;4;7;5;4;8
ChanelN5;37;5;8;3;8;3;7;3;3;3;9;5;5;7
HypnoticPoison;37;6;6;5;7;7;8;3;3;5;7;4;4;8
CocoMademoiselle;37;7;8;5;7;8;5;5;5;4;7;6;8;6
Shalimar;37;8;7;7;7;4;7;4;7;5;8;7;7;6
MissDior;37;9;8;5;5;8;4;6;6;7;8;6;8;6
LaPetiteRobeNoire;37;10;7;7;7;7;5;4;5;7;7;7;7;6
JAdore;37;11;8;7;8;6;5;6;6;5;8;6;6;7
AmorAmor;37;12;7;7;7;5;5;5;7;7;6;7;6;7
Flower;38;1;6;6;2;2;3;1;1;1;7;4;6;1
Trésor;38;2;3;4;4;3;2;5;2;5;4;5;2;2
Angel;38;3;5;8;7;7;3;8;3;5;8;5;1;2
HypnoticPoison;38;4;4;3;3;6;2;7;3;3;6;2;2;3
LolitaLempika;38;5;7;8;8;7;5;3;6;7;8;8;3;3
Shalimar;38;6;8;6;3;2;6;2;1;2;8;2;4;2
ChanelN5;38;7;6;7;6;3;8;3;3;3;4;3;3;6
LaPetiteRobeNoire;38;8;4;6;5;9;3;8;3;8;5;3;1;2
CocoMademoiselle;38;9;7;8;8;8;3;7;5;9;3;7;1;2
AmorAmor;38;10;5;7;9;9;3;8;4;6;4;4;2;2
MissDior;38;11;7;8;6;5;4;6;6;6;4;6;2;2
JAdore;38;12;6;8;6;4;4;6;3;7;6;7;2;4
Trésor;39;1;8;7;7;4;6;2;2;3;2;7;1;8
HypnoticPoison;39;2;6;3;8;4;6;3;7;3;8;4;2;6
Flower;39;3;8;2;3;2;3;2;1;2;9;7;1;2
Shalimar;39;4;6;2;2;7;5;2;7;3;8;2;6;7
Angel;39;5;7;7;8;5;4;7;7;7;6;3;4;7
LaPetiteRobeNoire;39;6;9;3;3;2;2;1;1;1;9;2;1;2
LolitaLempika;39;7;6;6;6;6;8;2;7;8;7;8;3;7
AmorAmor;39;8;6;3;6;3;7;3;4;7;7;7;3;6
ChanelN5;39;9;7;6;3;2;3;2;2;2;6;2;3;2
JAdore;39;10;6;6;4;6;7;3;6;6;6;6;2;7
CocoMademoiselle;39;11;7;6;4;6;3;7;7;4;7;3;3;3
MissDior;39;12;6;6;7;6;6;7;8;3;7;2;4;4
HypnoticPoison;40;1;8;3;7;9;4;9;2;4;9;2;2;3
Shalimar;40;2;8;2;4;4;8;2;8;2;6;4;8;2
Trésor;40;3;7;6;4;5;8;2;6;3;6;5;6;6
LaPetiteRobeNoire;40;4;6;7;8;8;4;5;4;4;7;5;4;5
Flower;40;5;7;4;5;8;0;7;3;3;8;6;5;2
AmorAmor;40;6;7;7;5;7;3;NA;2;8;6;8;2;7
Angel;40;7;8;2;6;7;7;4;5;8;7;7;7;2
JAdore;40;8;7;8;5;3;3;2;4;8;6;7;5;8
LolitaLempika;40;9;8;4;6;7;3;6;7;4;9;3;7;4
MissDior;40;10;7;8;7;4;7;4;6;5;6;7;3;8
ChanelN5;40;11;8;3;4;9;3;5;2;3;7;4;3;5
CocoMademoiselle;40;12;7;8;5;4;7;2;7;5;8;6;5;8
Shalimar;41;1;9;6;9;8;7;8;2;9;5;3;0;8
LaPetiteRobeNoire;41;2;8;5;10;6;8;3;6;9;9;6;2;8
HypnoticPoison;41;3;3;10;5;2;3;6;7;2;6;5;5;4
AmorAmor;41;4;7;7;7;9;2;6;2;8;7;9;1;4
Trésor;41;5;5;4;5;3;1;3;8;3;8;6;5;7
JAdore;41;6;9;9;10;6;7;5;8;6;10;8;0;9
Flower;41;7;8;5;5;8;7;2;4;9;9;9;0;8
MissDior;41;8;6;5;2;5;7;2;7;4;6;6;1;7
Angel;41;9;9;8;5;4;3;1;5;9;9;8;0;8
CocoMademoiselle;41;10;7;7;7;4;2;1;6;6;9;8;0;7
LolitaLempika;41;11;7;8;9;7;2;3;6;9;6;4;2;7
ChanelN5;41;12;10;0;5;3;8;0;9;3;10;8;8;3
LaPetiteRobeNoire;42;1;7;2;7;9;1;8;4;7;7;4;1;3
AmorAmor;42;2;6;4;4;4;6;7;5;7;3;5;2;7
Shalimar;42;3;6;5;2;3;7;3;7;3;3;3;8;3
JAdore;42;4;7;1;3;2;5;2;2;2;4;2;2;8
HypnoticPoison;42;5;8;1;1;3;4;5;6;6;7;2;6;8
MissDior;42;6;7;8;6;7;3;8;4;6;7;5;2;5
Trésor;42;7;2;3;7;6;3;5;5;6;8;3;2;6
CocoMademoiselle;42;8;5;7;4;3;3;2;4;4;6;2;4;9
Flower;42;9;7;5;3;4;7;2;4;4;7;4;6;3
ChanelN5;42;10;8;3;1;0;1;2;4;3;5;2;2;7
Angel;42;11;5;5;3;4;6;3;6;4;4;2;6;4
LolitaLempika;42;12;2;6;3;1;3;6;4;2;2;4;3;5
AmorAmor;43;1;10;10;5;5;5;0;3;0;8;2;1;1
JAdore;43;2;7;10;10;4;1;0;7;7;2;7;0;7
LaPetiteRobeNoire;43;3;4;1;1;7;10;8;10;3;10;3;0;0
MissDior;43;4;8;10;2;0;0;4;7;9;5;9;1;3
Shalimar;43;5;8;1;8;0;10;0;10;0;10;0;7;0
CocoMademoiselle;43;6;3;9;2;1;0;9;5;7;6;10;0;3
HypnoticPoison;43;7;6;5;2;10;3;8;5;4;1;0;0;0
ChanelN5;43;8;2;0;0;0;9;0;10;0;10;8;9;0
Trésor;43;9;5;2;2;10;1;10;0;1;0;0;0;2
LolitaLempika;43;10;3;5;0;1;7;0;10;7;10;6;0;9
Flower;43;11;5;5;8;10;0;10;0;2;1;2;0;3
Angel;43;12;10;10;10;2;2;3;8;3;10;7;1;0
JAdore;44;1;8;5;7;6;3;2;1;8;1;0;0;0
MissDior;44;2;10;0;2;3;8;2;8;2;10;5;3;6
AmorAmor;44;3;9;4;9;5;8;5;10;5;10;9;9;2
CocoMademoiselle;44;4;9;1;8;5;8;2;9;2;10;8;5;1
LaPetiteRobeNoire;44;5;8;6;1;6;9;8;9;1;10;9;8;10
ChanelN5;44;6;10;0;7;4;10;6;9;7;10;10;9;8
Shalimar;44;7;8;6;7;7;9;4;8;6;10;9;7;9
LolitaLempika;44;8;8;8;8;8;5;7;3;7;3;7;1;1
HypnoticPoison;44;9;8;4;8;8;7;8;4;7;5;5;1;1
Angel;44;10;5;8;9;8;5;4;7;8;8;8;1;1
Trésor;44;11;5;8;6;5;6;5;6;4;3;5;1;3
Flower;44;12;5;9;9;8;1;7;1;4;0;3;0;0
MissDior;45;1;9;8;8;2;2;3;8;3;10;7;1;0
CocoMademoiselle;45;2;7;8;6;9;8;9;1;1;1;6;1;7
JAdore;45;3;4;9;9;8;0;9;1;9;10;5;0;7
ChanelN5;45;4;3;2;7;9;3;9;1;2;3;8;0;7
AmorAmor;45;5;5;9;9;10;1;3;1;9;9;10;1;8
LolitaLempika;45;6;7;6;9;5;1;9;8;2;7;7;2;6
LaPetiteRobeNoire;45;7;9;8;8;6;7;8;9;4;9;4;2;8
Angel;45;8;8;8;9;2;8;2;7;2;8;2;8;8
Shalimar;45;9;9;9;9;1;3;9;8;2;8;2;7;6
Flower;45;10;8;7;8;8;4;10;6;8;9;3;1;8
HypnoticPoison;45;11;8;8;4;7;8;3;7;2;8;2;3;9
Trésor;45;12;2;4;2;2;8;3;7;2;1;2;9;8
CocoMademoiselle;46;1;7;5;2;3;2;1;3;6;1;2;1;8
ChanelN5;46;2;2;1;NA;2;1;1;1;1;9;1;1;9
MissDior;46;3;7;0;3;10;0;8;0;9;7;0;0;9
LolitaLempika;46;4;4;2;4;10;0;3;0;9;6;1;0;0
JAdore;46;5;5;5;9;2;8;2;0;6;0;2;0;8
Angel;46;6;3;0;5;7;0;4;9;10;8;9;4;6
AmorAmor;46;7;5;6;8;8;0;5;0;9;2;4;0;0
Flower;46;8;0;3;9;5;2;3;0;9;9;2;8;0
LaPetiteRobeNoire;46;9;5;3;8;10;0;9;0;8;7;0;0;5
Trésor;46;10;6;8;8;4;7;0;5;5;5;0;8;0
Shalimar;46;11;9;9;8;2;8;9;0;0;1;0;0;7
HypnoticPoison;46;12;3;2;5;9;0;9;7;9;3;0;0;6
ChanelN5;47;1;2;3;5;4;1;2;1;2;2;0;0;9
LolitaLempika;47;2;5;4;4;7;2;3;3;3;5;3;1;4
CocoMademoiselle;47;3;6;4;3;6;0;3;7;7;6;1;4;5
Angel;47;4;8;3;5;8;1;5;6;6;8;3;7;3
MissDior;47;5;5;6;6;5;0;2;1;5;4;3;3;6
Flower;47;6;7;3;4;5;2;4;3;8;9;3;9;7
JAdore;47;7;7;4;4;5;0;2;1;5;4;1;4;8
Trésor;47;8;10;1;4;5;9;2;6;2;8;5;2;6
AmorAmor;47;9;6;5;7;5;3;2;3;5;7;7;5;8
HypnoticPoison;47;10;7;1;1;8;0;6;2;2;7;2;3;5
LaPetiteRobeNoire;47;11;3;3;5;5;0;3;0;3;3;1;3;3
Shalimar;47;12;7;1;1;5;8;2;7;2;10;2;8;5
LolitaLempika;48;1;7;6;8;9;7;6;8;6;9;6;3;7
Angel;48;2;10;1;9;7;9;7;9;3;9;7;2;10
ChanelN5;48;3;9;2;8;8;8;7;8;7;9;6;2;8
Flower;48;4;8;7;9;9;7;8;7;7;7;7;2;6
CocoMademoiselle;48;5;7;7;8;7;6;7;7;7;8;6;3;7
Trésor;48;6;7;9;8;8;3;7;6;7;3;3;1;6
MissDior;48;7;8;7;8;7;7;8;7;8;7;6;1;6
HypnoticPoison;48;8;6;7;6;8;3;9;4;8;7;3;2;6
JAdore;48;9;3;6;4;6;7;6;7;4;2;6;4;6
Shalimar;48;10;8;2;8;7;8;7;9;6;9;3;4;8
AmorAmor;48;11;7;8;8;7;4;7;6;6;3;6;1;4
LaPetiteRobeNoire;48;12;7;7;7;9;4;8;4;6;6;2;1;3
HypnoticPoison;49;1;6;4;6;7;3;6;4;8;8;2;1;4
Angel;49;2;7;3;3;4;6;4;4;5;6;1;6;2
ChanelN5;49;3;5;3;2;6;6;6;4;5;6;2;6;2
MissDior;49;4;6;7;6;7;4;3;3;5;7;3;5;4
Shalimar;49;5;6;7;5;6;3;7;5;6;4;4;2;6
AmorAmor;49;6;6;7;6;7;3;5;4;7;5;7;4;7
Flower;49;7;8;5;5;6;3;6;4;6;7;7;2;5
Trésor;49;8;6;7;7;6;3;6;6;7;7;5;3;6
JAdore;49;9;8;8;6;5;4;6;4;7;6;4;4;7
LolitaLempika;49;10;8;4;6;6;3;7;6;6;8;3;6;5
CocoMademoiselle;49;11;8;8;5;5;6;4;6;4;6;6;4;6
LaPetiteRobeNoire;49;12;7;7;7;8;4;5;6;6;7;4;5;5
Angel;50;1;10;7;1;10;10;8;4;0;10;1;0;0
MissDior;50;2;10;2;6;7;7;9;0;6;2;7;0;0
HypnoticPoison;50;3;3;5;7;10;10;10;2;3;1;4;10;1
AmorAmor;50;4;10;10;0;7;0;0;6;4;0;10;0;4
ChanelN5;50;5;10;10;10;9;8;0;9;0;10;0;6;0
Trésor;50;6;6;2;7;10;8;5;4;7;0;9;0;0
Shalimar;50;7;10;2;6;10;10;10;8;1;6;3;4;0
LolitaLempika;50;8;7;8;9;8;10;10;0;1;0;0;0;0
Flower;50;9;6;3;5;4;7;0;3;0;0;2;4;2
LaPetiteRobeNoire;50;10;10;8;10;8;8;2;9;2;8;0;0;6
JAdore;50;11;6;9;9;7;3;0;4;9;1;7;0;3
CocoMademoiselle;50;12;10;9;4;7;10;0;9;0;10;2;3;0
MissDior;51;1;8;5;7;6;8;2;6;6;5;5;4;3
AmorAmor;51;2;5;5;2;9;1;7;4;7;4;6;1;7
Angel;51;3;10;0;8;7;9;5;4;0;10;7;7;6
Trésor;51;4;9;0;9;8;7;3;6;8;10;0;0;10
HypnoticPoison;51;5;8;0;6;7;9;10;7;4;10;0;3;8
LolitaLempika;51;6;7;6;8;9;2;5;4;7;5;2;0;8
ChanelN5;51;7;8;0;9;7;3;2;3;8;9;5;1;8
LaPetiteRobeNoire;51;8;7;8;8;9;0;4;6;9;7;6;1;7
Flower;51;9;8;0;9;7;6;2;5;6;6;3;0;10
CocoMademoiselle;51;10;7;1;8;7;7;2;6;7;8;1;0;10
Shalimar;51;11;9;1;8;8;7;4;8;7;10;0;5;6
JAdore;51;12;8;7;8;8;1;4;2;8;8;2;1;7
AmorAmor;52;1;8;6;5;3;5;4;4;7;6;4;5;4
Trésor;52;2;10;6;7;7;1;7;1;8;9;2;1;9
MissDior;52;3;7;5;8;2;5;5;8;7;9;8;9;3
LolitaLempika;52;4;7;6;6;5;8;5;5;9;7;9;6;7
Angel;52;5;8;6;6;7;3;4;1;2;10;5;7;6
LaPetiteRobeNoire;52;6;7;7;6;4;6;2;1;7;4;6;6;6
HypnoticPoison;52;7;4;5;4;4;6;4;2;1;8;4;9;2
CocoMademoiselle;52;8;7;7;6;4;7;3;2;7;7;5;7;7
ChanelN5;52;9;6;1;5;2;6;3;2;1;7;6;7;7
JAdore;52;10;7;9;7;5;4;3;1;5;7;7;7;5
Shalimar;52;11;9;7;7;6;7;6;3;5;9;5;6;9
Flower;52;12;6;3;5;1;8;3;1;3;6;3;7;5
Trésor;53;1;9;9;7;8;8;7;3;4;8;1;6;6
LolitaLempika;53;2;7;4;5;9;8;3;7;3;9;2;6;3
AmorAmor;53;3;7;9;5;6;3;2;3;10;4;10;3;7
LaPetiteRobeNoire;53;4;6;6;8;7;7;2;6;7;9;6;8;6
MissDior;53;5;6;9;5;5;7;4;4;6;4;4;6;5
CocoMademoiselle;53;6;6;7;4;7;7;5;6;6;5;6;6;5
Angel;53;7;7;3;9;10;2;2;5;5;9;1;0;10
JAdore;53;8;5;7;8;6;7;5;6;6;6;3;4;7
HypnoticPoison;53;9;6;4;5;9;7;6;6;5;9;2;4;9
Flower;53;10;6;8;7;6;6;3;3;4;3;3;6;4
ChanelN5;53;11;8;6;9;7;4;2;2;2;9;1;1;9
Shalimar;53;12;6;5;7;6;6;5;5;6;6;6;6;5
LolitaLempika;54;1;7;8;7;6;8;5;7;6;8;7;6;4
LaPetiteRobeNoire;54;2;9;7;8;6;8;5;9;8;9;7;6;6
Trésor;54;3;3;3;2;2;3;2;2;2;2;3;2;2
CocoMademoiselle;54;4;7;8;8;6;7;5;5;9;6;6;7;6
AmorAmor;54;5;6;7;8;6;5;6;5;6;5;7;7;5
JAdore;54;6;7;8;8;6;8;7;7;8;8;7;8;6
MissDior;54;7;8;7;8;7;8;6;8;8;8;7;7;6
Flower;54;8;8;8;7;7;7;9;8;7;7;7;6;6
