Produit;Juge;Rang;intensite;frais;fleuri;sucre;boise;vanille;epice;fruite;entetant;agrume;animal;vegetal
Angel;54;9;7;6;5;6;8;6;7;6;7;6;6;6
Shalimar;54;10;8;7;8;6;8;7;8;6;7;6;5;5
HypnoticPoison;54;11;5;7;7;8;8;8;7;7;6;7;6;7
ChanelN5;54;12;8;7;7;6;8;6;8;7;6;7;6;6
LaPetiteRobeNoire;55;1;8;6;5;7;8;7;5;4;8;5;5;7
CocoMademoiselle;55;2;6;8;8;4;4;2;2;7;3;5;3;7
LolitaLempika;55;3;5;7;8;8;3;3;3;4;7;3;4;7
JAdore;55;4;8;7;8;7;7;1;4;4;6;3;7;6
Trésor;55;5;8;3;4;4;8;3;5;2;8;2;7;3
Flower;55;6;8;7;9;4;4;3;3;4;8;3;3;6
AmorAmor;55;7;7;6;7;7;5;2;3;6;8;3;4;4
Shalimar;55;8;10;2;7;2;8;1;10;2;10;1;8;8
MissDior;55;9;8;7;6;7;7;3;7;8;8;7;8;5
ChanelN5;55;10;10;8;9;6;2;1;2;5;9;2;3;7
Angel;55;11;10;1;8;5;8;5;7;4;10;2;10;7
HypnoticPoison;55;12;10;3;8;4;6;6;3;3;8;2;3;3
CocoMademoiselle;56;1;8;4;6;3;5;2;7;3;8;3;7;2
JAdore;56;2;8;8;8;4;5;4;3;8;4;7;2;7
LaPetiteRobeNoire;56;3;10;2;2;5;3;2;8;3;9;2;8;2
Flower;56;4;7;4;7;3;8;3;5;5;3;5;3;4
LolitaLempika;56;5;7;6;4;5;6;7;7;6;3;6;7;4
Shalimar;56;6;10;2;9;2;3;3;7;1;10;3;9;9
Trésor;56;7;7;8;8;8;5;7;5;8;7;2;3;8
ChanelN5;56;8;10;2;2;2;8;8;8;2;10;2;9;2
AmorAmor;56;9;5;5;4;5;7;3;2;7;3;NA;3;5
HypnoticPoison;56;10;7;5;6;5;6;7;6;6;5;4;6;4
MissDior;56;11;8;7;8;7;7;5;6;7;5;5;3;7
Angel;56;12;9;2;9;2;9;7;8;3;10;2;9;1
JAdore;57;1;5;7;6;4;5;6;3;3;6;2;1;4
Flower;57;2;7;5;7;8;2;6;7;8;4;8;1;3
CocoMademoiselle;57;3;9;4;9;6;8;6;4;9;9;3;1;5
Shalimar;57;4;8;1;1;8;7;8;9;4;9;4;8;6
LaPetiteRobeNoire;57;5;8;6;9;2;7;5;7;6;8;5;7;8
ChanelN5;57;6;6;7;8;3;2;5;4;7;3;7;1;8
LolitaLempika;57;7;7;5;8;8;6;6;7;8;6;7;1;4
HypnoticPoison;57;8;2;1;1;6;8;7;7;1;5;1;8;7
Trésor;57;9;7;9;7;1;1;2;2;5;6;7;1;6
Angel;57;10;8;1;6;6;7;6;6;3;6;1;9;8
AmorAmor;57;11;6;7;6;3;1;3;2;7;5;9;1;3
MissDior;57;12;9;6;9;5;3;4;2;7;7;3;1;4
Flower;58;1;6;4;2;4;9;7;8;3;5;2;7;7
Shalimar;58;2;9;3;8;2;8;2;8;3;8;7;5;5
JAdore;58;3;7;8;7;8;0;1;0;9;5;3;3;8
ChanelN5;58;4;9;0;4;3;10;5;9;4;9;7;7;4
CocoMademoiselle;58;5;7;10;9;9;1;3;2;8;4;8;0;8
HypnoticPoison;58;6;8;8;NA;10;0;8;1;9;8;7;0;7
LaPetiteRobeNoire;58;7;7;3;5;8;5;7;7;7;8;8;5;3
Angel;58;8;8;2;5;0;7;8;10;NA;8;8;8;2
LolitaLempika;58;9;3;8;5;7;6;6;5;7;4;6;2;6
MissDior;58;10;7;7;9;7;7;6;2;8;4;5;5;7
Trésor;58;11;8;1;7;5;9;7;6;5;7;7;7;3
AmorAmor;58;12;8;8;8;8;0;5;2;10;7;7;2;7
Shalimar;59;1;8;4;4;8;7;7;8;4;9;2;4;5
ChanelN5;59;2;5;6;4;3;3;4;2;2;5;3;6;8
Flower;59;3;3;6;8;10;6;8;2;5;3;3;2;6
HypnoticPoison;59;4;6;8;8;9;9;8;3;6;5;3;4;7
JAdore;59;5;6;8;7;6;5;3;2;3;4;6;3;5
Angel;59;6;7;2;5;3;9;8;8;4;10;4;9;3
CocoMademoiselle;59;7;6;7;9;7;8;4;4;5;5;4;5;7
MissDior;59;8;4;4;8;9;7;6;4;5;5;6;4;8
LaPetiteRobeNoire;59;9;8;1;9;10;8;3;4;4;8;2;9;8
AmorAmor;59;10;6;7;9;6;7;5;5;7;6;6;6;7
LolitaLempika;59;11;7;2;9;9;8;5;6;4;9;4;4;3
Trésor;59;12;3;3;7;10;8;5;6;8;6;4;8;7
ChanelN5;60;1;8;2;3;6;9;4;8;1;10;0;3;2
HypnoticPoison;60;2;8;2;3;9;1;9;7;4;8;1;2;2
Shalimar;60;3;8;7;3;2;5;2;8;6;9;7;1;4
Angel;60;4;7;2;5;9;2;6;6;3;9;6;6;4
Flower;60;5;6;6;7;5;3;4;2;3;6;2;0;4
MissDior;60;6;6;7;7;6;2;5;4;4;7;2;1;5
JAdore;60;7;7;5;7;7;2;4;6;6;7;2;3;1
AmorAmor;60;8;6;4;6;4;3;4;5;4;6;7;2;4
CocoMademoiselle;60;9;6;6;5;6;6;3;3;3;6;6;1;5
Trésor;60;10;8;4;6;7;3;6;4;3;7;2;4;1
LaPetiteRobeNoire;60;11;9;2;3;8;4;5;8;4;9;2;4;3
LolitaLempika;60;12;7;3;4;7;5;7;6;7;8;4;3;2
Angel;61;1;9;1;1;10;8;10;7;1;10;0;8;0
ChanelN5;61;2;7;5;10;3;3;0;2;6;5;2;5;5
Flower;61;3;3;7;6;3;1;0;0;3;2;3;0;8
HypnoticPoison;61;4;7;2;4;7;6;4;5;9;0;6;0;NA
JAdore;61;5;5;6;9;4;2;3;2;8;5;0;4;7
CocoMademoiselle;61;6;10;1;5;7;6;7;7;4;9;2;5;1
AmorAmor;61;7;5;5;9;7;4;5;3;7;6;1;4;4
LaPetiteRobeNoire;61;8;10;0;6;10;3;7;6;2;10;0;6;0
Trésor;61;9;5;4;6;7;7;5;6;6;6;3;7;3
MissDior;61;10;10;0;8;10;4;8;5;6;10;0;5;0
LolitaLempika;61;11;8;1;8;9;2;9;6;9;9;0;5;0
Shalimar;61;12;6;6;6;4;10;4;6;3;5;0;8;4
ChanelN5;62;1;8;1;2;8;8;3;8;3;10;0;8;3
HypnoticPoison;62;2;6;7;8;9;2;2;3;3;7;0;0;8
Angel;62;3;7;1;2;10;8;10;9;1;9;2;7;2
CocoMademoiselle;62;4;3;9;9;2;2;0;0;0;5;0;1;9
Flower;62;5;6;6;5;5;0;7;0;0;9;2;7;7
LaPetiteRobeNoire;62;6;9;7;0;9;2;9;8;9;9;0;5;8
JAdore;62;7;8;9;6;3;1;2;3;0;8;0;0;8
MissDior;62;8;10;2;1;9;7;9;9;2;10;0;9;2
AmorAmor;62;9;9;1;1;7;6;5;9;0;10;0;10;1
Shalimar;62;10;9;5;3;1;9;4;10;9;10;8;6;5
Trésor;62;11;7;6;8;3;1;6;2;0;8;0;7;6
LolitaLempika;62;12;8;1;1;8;7;9;10;3;9;0;5;6
HypnoticPoison;63;1;4;2;0;3;10;10;8;2;2;0;0;8
CocoMademoiselle;63;2;8;7;4;7;4;5;6;3;8;5;1;3
ChanelN5;63;3;10;3;3;3;5;8;8;0;10;0;3;4
LaPetiteRobeNoire;63;4;6;7;7;8;0;4;5;6;6;6;3;5
Angel;63;5;10;3;4;5;9;8;7;0;8;2;2;8
MissDior;63;6;7;6;7;8;5;9;7;2;9;5;2;3
Flower;63;7;6;8;9;5;8;9;9;1;8;1;3;5
Shalimar;63;8;9;10;10;3;8;9;10;1;10;0;3;9
JAdore;63;9;8;5;9;5;5;8;2;1;6;2;0;5
LolitaLempika;63;10;7;8;6;5;6;9;3;5;7;2;3;4
AmorAmor;63;11;8;8;8;10;2;5;5;5;7;5;4;4
Trésor;63;12;10;0;10;5;10;10;10;2;10;2;7;9
CocoMademoiselle;64;1;6;8;4;5;2;1;1;7;4;0;0;8
LaPetiteRobeNoire;64;2;6;4;8;6;1;2;1;8;7;5;0;7
HypnoticPoison;64;3;8;4;7;7;0;10;1;5;9;0;0;7
MissDior;64;4;7;7;7;9;0;1;0;9;7;2;0;8
ChanelN5;64;5;10;0;8;9;0;8;3;1;10;0;3;5
Shalimar;64;6;9;2;7;9;9;5;0;2;10;2;4;7
Angel;64;7;8;7;8;10;0;2;0;8;9;3;4;6
LolitaLempika;64;8;8;7;5;9;1;9;2;8;9;1;0;2
Flower;64;9;NA;9;9;8;1;2;1;5;4;1;1;5
Trésor;64;10;7;6;3;7;5;8;1;5;8;1;1;6
JAdore;64;11;7;8;6;5;1;1;0;3;2;0;0;6
AmorAmor;64;12;7;9;8;8;1;1;0;5;2;3;0;5
LaPetiteRobeNoire;65;1;6;5;6;4;8;1;3;4;7;3;5;6
MissDior;65;2;7;6;7;4;8;1;6;NA;8;6;7;5
CocoMademoiselle;65;3;7;6;6;3;9;0;9;5;8;1;9;7
Shalimar;65;4;7;3;7;3;9;0;7;5;9;3;8;6
HypnoticPoison;65;5;5;4;4;7;5;7;2;8;5;4;8;6
LolitaLempika;65;6;5;8;8;5;8;1;5;7;5;2;2;6
ChanelN5;65;7;8;2;2;3;7;0;8;4;8;2;9;9
Trésor;65;8;7;4;3;4;7;3;6;3;7;2;7;8
Angel;65;9;8;8;6;3;4;3;6;7;7;3;3;5
AmorAmor;65;10;6;8;7;4;5;3;NA;8;6;8;4;6
Flower;65;11;7;8;6;5;3;3;6;9;7;4;4;7
JAdore;65;12;7;9;7;5;6;1;5;8;7;3;4;6
MissDior;66;1;3;6;4;4;5;2;3;3;3;6;0;7
Shalimar;66;2;8;3;1;1;8;3;9;5;3;2;2;4
LaPetiteRobeNoire;66;3;6;3;7;7;1;6;1;3;5;6;2;6
LolitaLempika;66;4;4;3;4;8;3;9;4;2;2;4;0;2
CocoMademoiselle;66;5;8;4;3;1;5;3;6;4;5;7;2;6
Trésor;66;6;5;8;8;8;1;3;1;3;4;3;0;10
HypnoticPoison;66;7;6;4;3;1;7;6;4;0;4;2;2;1
AmorAmor;66;8;1;8;3;0;1;4;2;8;2;8;0;0
ChanelN5;66;9;4;8;10;2;0;2;0;5;0;2;0;9
JAdore;66;10;5;5;4;3;0;3;0;8;5;6;0;7
Angel;66;11;6;3;3;2;7;6;4;1;6;2;0;4
Flower;66;12;5;2;3;7;2;8;2;5;3;5;2;3
Shalimar;67;1;9;2;3;0;8;0;7;1;9;7;7;5
LolitaLempika;67;2;6;8;8;9;1;2;1;7;6;0;0;6
MissDior;67;3;8;3;5;1;4;0;1;0;9;1;NA;6
Trésor;67;4;7;5;5;5;9;0;0;3;2;0;1;8
LaPetiteRobeNoire;67;5;8;4;7;8;1;4;0;9;9;1;0;7
AmorAmor;67;6;2;3;2;2;5;0;5;6;3;9;0;4
CocoMademoiselle;67;7;8;3;4;3;8;0;4;2;8;8;0;7
JAdore;67;8;8;3;7;3;3;0;2;6;9;7;0;6
HypnoticPoison;67;9;5;8;8;8;6;7;1;8;4;1;1;6
Flower;67;10;6;7;8;8;2;0;1;7;7;4;2;6
ChanelN5;67;11;9;2;6;3;8;0;7;5;9;8;4;8
Angel;67;12;7;7;7;8;3;0;1;6;8;1;1;6
LolitaLempika;68;1;7;6;2;8;6;8;1;2;1;3;5;4
Trésor;68;2;5;3;8;5;7;4;3;1;1;3;8;3
Shalimar;68;3;5;5;NA;2;1;0;7;0;9;4;2;1
AmorAmor;68;4;8;8;7;7;0;0;0;1;1;5;3;3
MissDior;68;5;3;5;8;2;0;0;2;2;1;1;3;0
JAdore;68;6;5;8;8;7;2;2;0;0;4;1;2;6
LaPetiteRobeNoire;68;7;10;2;4;8;1;9;0;9;6;3;4;6
Flower;68;8;0;5;8;5;7;0;2;1;5;7;2;5
CocoMademoiselle;68;9;10;9;6;2;5;0;6;2;8;2;5;2
Angel;68;10;4;3;1;10;6;5;0;9;10;5;1;5
HypnoticPoison;68;11;7;2;6;7;2;8;0;8;10;7;9;2
ChanelN5;68;12;8;7;9;3;9;0;7;0;7;5;6;0
Trésor;69;1;7;2;7;1;1;5;1;2;5;5;1;9
AmorAmor;69;2;9;2;6;7;2;2;4;5;5;9;3;8
LolitaLempika;69;3;8;8;6;7;7;5;6;6;4;3;3;5
JAdore;69;4;7;5;8;5;5;4;4;7;4;1;4;8
Shalimar;69;5;8;1;3;4;8;2;6;1;8;1;5;5
Flower;69;6;4;8;8;5;2;6;1;5;4;5;5;5
MissDior;69;7;8;3;8;7;1;5;1;5;3;5;2;7
Angel;69;8;9;0;1;2;10;5;6;2;6;1;8;3
LaPetiteRobeNoire;69;9;8;6;6;7;1;3;2;6;6;5;3;6
ChanelN5;69;10;7;1;2;5;7;2;7;4;4;2;7;2
CocoMademoiselle;69;11;6;8;5;7;7;2;6;NA;7;3;6;5
HypnoticPoison;69;12;8;1;2;5;8;5;7;2;4;4;8;2
AmorAmor;70;1;6;4;7;4;3;6;2;5;2;5;1;8
JAdore;70;2;8;3;7;4;4;3;1;4;6;5;2;5
Trésor;70;3;7;4;8;6;6;3;2;5;3;4;2;5
Flower;70;4;3;3;8;4;4;2;2;3;2;6;2;7
LolitaLempika;70;5;7;8;8;6;6;3;2;7;4;6;2;8
Angel;70;6;7;8;8;7;5;4;2;4;3;4;3;6
Shalimar;70;7;4;3;5;3;4;3;2;3;3;3;3;3
ChanelN5;70;8;3;5;4;3;3;3;2;3;2;2;4;2
MissDior;70;9;7;6;8;7;5;4;2;8;4;6;2;7
HypnoticPoison;70;10;4;3;2;7;2;7;2;5;7;3;1;4
LaPetiteRobeNoire;70;11;9;7;8;6;6;3;2;7;6;5;2;7
CocoMademoiselle;70;12;5;9;7;6;4;3;2;6;3;4;2;7
JAdore;71;1;7;5;6;7;4;3;5;6;6;3;4;5
Flower;71;2;8;6;9;3;4;4;4;3;7;3;3;7
AmorAmor;71;3;7;8;5;6;3;3;3;6;3;4;5;5
Angel;71;4;9;3;9;6;5;3;3;5;7;7;4;7
Trésor;71;5;9;5;8;6;5;3;5;4;7;4;4;7
ChanelN5;71;6;7;3;8;3;3;2;3;3;8;3;4;7
LolitaLempika;71;7;8;6;4;5;4;4;3;8;8;6;4;7
HypnoticPoison;71;8;6;6;6;4;4;5;7;5;5;4;5;5
Shalimar;71;9;7;7;4;7;4;7;7;4;7;4;5;6
CocoMademoiselle;71;10;7;8;5;5;5;4;5;7;5;6;5;6
MissDior;71;11;5;4;5;5;4;3;4;6;4;5;6;4
LaPetiteRobeNoire;71;12;8;9;4;7;4;2;2;5;8;4;4;6
Flower;72;1;8;2;0;1;0;0;4;2;8;0;2;5
Angel;72;2;3;8;6;6;2;7;6;8;6;5;0;5
JAdore;72;3;3;4;6;3;1;3;2;3;5;4;4;3
ChanelN5;72;4;9;0;3;0;5;0;6;8;9;2;0;7
AmorAmor;72;5;2;9;6;8;4;0;6;9;2;8;0;7
HypnoticPoison;72;6;4;0;0;8;0;10;3;4;5;2;0;0
Trésor;72;7;8;7;3;6;3;0;5;6;7;3;0;2
CocoMademoiselle;72;8;5;7;3;6;3;0;4;7;5;6;2;4
LolitaLempika;72;9;5;2;2;7;2;9;3;2;7;0;3;3
LaPetiteRobeNoire;72;10;8;2;2;8;5;3;4;6;6;8;3;5
Shalimar;72;11;10;0;1;0;0;1;7;1;9;0;5;1
MissDior;72;12;3;8;8;8;4;2;4;6;0;5;0;4
CocoMademoiselle;73;1;8;4;3;4;5;2;8;5;8;3;8;2
JAdore;73;2;3;8;8;5;7;7;3;4;2;3;2;7
ChanelN5;73;3;6;3;7;3;7;5;5;3;7;3;3;5
MissDior;73;4;7;3;6;6;3;4;8;7;5;3;7;3
Flower;73;5;8;2;6;3;7;2;8;7;8;4;2;3
Shalimar;73;6;9;2;2;1;2;2;8;2;10;4;5;2
LolitaLempika;73;7;4;7;6;10;0;7;8;10;7;4;0;0
AmorAmor;73;8;7;1;1;1;2;0;6;8;8;1;0;0
LaPetiteRobeNoire;73;9;5;7;8;7;1;4;3;3;7;1;2;1
Angel;73;10;8;6;3;5;9;3;8;2;2;2;2;2
Trésor;73;11;3;10;9;2;1;2;4;5;1;1;2;7
HypnoticPoison;73;12;3;3;10;2;5;6;5;6;2;2;2;1
JAdore;74;1;6;7;7;8;5;0;0;5;6;NA;0;0
MissDior;74;2;8;2;3;2;4;1;0;3;3;3;0;2
CocoMademoiselle;74;3;8;4;5;5;4;1;0;3;4;6;1;0
Shalimar;74;4;10;0;0;1;6;6;6;0;9;0;1;5
ChanelN5;74;5;8;NA;5;6;7;7;6;4;6;4;0;6
AmorAmor;74;6;5;7;7;6;1;3;0;3;3;5;1;5
Flower;74;7;9;5;7;6;4;4;1;5;NA;5;0;1
Angel;74;8;8;4;2;2;3;5;3;2;8;3;4;4
LolitaLempika;74;9;7;5;7;7;1;1;0;6;2;1;0;2
HypnoticPoison;74;10;9;2;4;4;3;6;3;1;7;1;1;2
LaPetiteRobeNoire;74;11;5;2;3;2;5;4;2;2;4;4;1;4
Trésor;74;12;6;2;2;1;5;5;3;4;6;4;1;4
MissDior;75;1;3;6;8;1;2;1;0;4;3;2;0;4
Shalimar;75;2;9;2;0;4;8;0;10;0;4;0;7;2
JAdore;75;3;5;7;9;5;1;4;0;7;4;4;0;5
AmorAmor;75;4;4;7;8;5;2;5;0;8;4;4;1;5
CocoMademoiselle;75;5;5;3;2;2;5;6;8;2;4;4;7;8
Angel;75;6;6;1;0;1;8;0;10;0;4;0;8;0
ChanelN5;75;7;6;2;6;1;4;9;0;3;4;2;5;5
HypnoticPoison;75;8;6;4;7;8;0;10;0;9;4;3;0;5
Flower;75;9;6;9;8;6;1;4;0;8;4;6;0;6
Trésor;75;10;8;2;3;5;7;2;6;2;5;1;3;5
LolitaLempika;75;11;6;1;4;1;8;8;9;5;5;1;0;6
LaPetiteRobeNoire;75;12;9;8;6;10;4;4;7;6;4;2;2;6
Shalimar;76;1;6;7;5;9;5;6;2;4;9;5;5;3
AmorAmor;76;2;3;8;8;5;5;3;1;5;9;6;2;7
MissDior;76;3;6;7;7;3;7;3;2;5;9;6;3;6
Angel;76;4;6;4;8;10;7;9;6;7;10;5;7;4
JAdore;76;5;3;7;10;5;4;5;3;10;6;5;7;4
HypnoticPoison;76;6;4;3;7;8;7;9;3;7;6;5;7;6
CocoMademoiselle;76;7;7;6;10;9;8;6;1;8;8;6;3;10
Trésor;76;8;4;8;7;5;8;8;4;8;4;6;7;10
ChanelN5;76;9;5;4;3;9;8;5;8;6;9;6;9;5
LaPetiteRobeNoire;76;10;3;5;8;3;8;4;1;7;5;6;3;5
Flower;76;11;5;2;5;5;9;8;4;9;6;6;4;7
LolitaLempika;76;12;7;5;8;3;8;10;3;8;5;6;6;8
AmorAmor;77;1;7;9;2;8;0;5;6;10;6;0;0;10
Angel;77;2;10;0;9;0;10;0;10;0;2;8;10;4
Shalimar;77;3;7;2;8;7;0;10;7;10;7;2;0;7
HypnoticPoison;77;4;4;0;5;10;5;10;10;10;10;0;0;10
MissDior;77;5;7;10;4;0;0;0;6;0;10;0;0;6
Trésor;77;6;7;4;8;7;0;0;5;8;6;0;0;10
JAdore;77;7;7;10;4;10;0;0;7;8;7;0;0;10
LaPetiteRobeNoire;77;8;8;3;8;10;0;7;7;10;10;7;0;10
CocoMademoiselle;77;9;2;10;4;6;7;8;8;7;5;8;0;10
LolitaLempika;77;10;10;7;9;8;0;8;7;9;5;3;0;6
ChanelN5;77;11;8;6;7;7;6;6;7;7;2;0;0;3
Flower;77;12;6;3;6;5;7;6;2;4;0;2;0;2
Angel;78;1;7;3;4;2;8;2;7;1;10;5;7;4
HypnoticPoison;78;2;5;7;7;9;4;10;3;3;9;1;2;9
AmorAmor;78;3;2;9;6;9;1;1;0;10;1;8;0;2
Trésor;78;4;6;5;8;4;5;1;5;5;7;3;2;5
Shalimar;78;5;6;7;1;0;10;0;9;0;10;2;8;6
LaPetiteRobeNoire;78;6;1;9;9;10;0;2;2;10;2;1;0;4
MissDior;78;7;4;5;5;4;3;2;2;3;7;4;2;4
LolitaLempika;78;8;4;6;8;5;2;4;2;5;6;2;0;5
JAdore;78;9;6;5;4;3;2;1;4;NA;5;2;2;5
Flower;78;10;5;2;1;0;6;6;10;0;9;2;8;6
CocoMademoiselle;78;11;1;9;8;5;2;1;2;7;3;2;0;3
ChanelN5;78;12;9;2;2;0;9;7;9;0;10;1;10;7
HypnoticPoison;79;1;2;4;2;8;5;10;0;1;3;0;0;6
Trésor;79;2;7;7;8;7;1;3;2;8;6;1;3;6
Angel;79;3;7;6;7;7;9;8;6;3;6;7;9;4
LaPetiteRobeNoire;79;4;3;1;1;5;1;0;1;5;0;4;1;1
AmorAmor;79;5;4;7;6;3;4;2;1;6;4;7;5;4
LolitaLempika;79;6;6;6;7;5;6;5;5;6;5;3;6;5
Shalimar;79;7;9;2;9;2;1;1;9;9;0;9;1;10
Flower;79;8;5;6;7;4;5;6;4;8;6;4;4;4
MissDior;79;9;4;6;6;5;6;6;4;6;5;4;5;6
ChanelN5;79;10;9;10;10;0;1;0;8;10;10;9;1;10
JAdore;79;11;4;5;6;6;4;4;2;7;6;4;3;8
CocoMademoiselle;79;12;7;4;6;8;4;5;5;8;9;4;3;5
Trésor;80;1;4;8;7;6;8;3;3;5;3;5;0;4
LaPetiteRobeNoire;80;2;7;6;6;9;1;2;2;8;6;4;0;1
HypnoticPoison;80;3;8;2;2;8;0;8;5;4;8;0;2;0
LolitaLempika;80;4;4;9;7;6;2;2;1;3;2;4;0;3
Angel;80;5;10;6;3;7;3;6;8;3;10;3;2;3
Flower;80;6;8;8;8;5;3;2;2;3;4;2;1;3
AmorAmor;80;7;3;6;8;10;0;4;1;8;3;2;0;0
ChanelN5;80;8;6;6;8;5;4;0;4;2;7;2;3;5
Shalimar;80;9;8;5;4;5;3;5;7;3;7;3;2;0
CocoMademoiselle;80;10;7;10;7;7;5;2;2;4;3;5;2;2
MissDior;80;11;8;8;6;8;2;5;5;4;6;2;2;2
JAdore;80;12;6;10;7;6;3;3;2;3;4;4;1;3
