Pays;Annee_civile;Annee;G;L;H;Rdt
Sweden_b;2006;3;0;1;1;1.655
Belgium;2003;1;1;0;1;3.053
Iceland_a;2003;1;1;0;1;2.164
Sweden_a;2003;1;1;0;1;2.723
Belgium;2004;2;1;0;1;3.78
France;2004;1;1;0;1;2.552
Iceland_a;2004;2;1;0;1;1.337
Norway_a;2004;1;1;0;1;0.883
Sweden_a;2004;2;1;0;1;0.944
Sweden_b;2004;1;1;0;1;1.413
Belgium;2005;3;1;0;1;2.82
France;2005;2;1;0;1;3.962
Iceland_a;2005;3;1;0;1;1.07
Norway_a;2005;2;1;0;1;1.616
Sweden_a;2005;3;1;0;1;0.696
Sweden_b;2005;2;1;0;1;0.59
France;2006;3;1;0;1;3.25
Norway_a;2006;3;1;0;1;1.843
Sweden_b;2006;3;1;0;1;0.658
Belgium;2003;1;1;0;1;2.645
Iceland_a;2003;1;1;0;1;1.299
Sweden_a;2003;1;1;0;1;3.3
Belgium;2004;2;1;0;1;3.612
France;2004;1;1;0;1;2.241
Iceland_a;2004;2;1;0;1;0.775
Norway_a;2004;1;1;0;1;3.883
Sweden_a;2004;2;1;0;1;2.257
Sweden_b;2004;1;1;0;1;1.599
Belgium;2005;3;1;0;1;2.791
France;2005;2;1;0;1;3.525
Iceland_a;2005;3;1;0;1;0.866
Norway_a;2005;2;1;0;1;2.842
Sweden_a;2005;3;1;0;1;1.662
Sweden_b;2005;2;1;0;1;0.557
France;2006;3;1;0;1;2.747
Norway_a;2006;3;1;0;1;3.497
Sweden_b;2006;3;1;0;1;0.661
Belgium;2003;1;1;0;1;2.161
Iceland_a;2003;1;1;0;1;2.668
Sweden_a;2003;1;1;0;1;2.586
Belgium;2004;2;1;0;1;4.272
France;2004;1;1;0;1;1.39
Iceland_a;2004;2;1;0;1;2.099
Norway_a;2004;1;1;0;1;1.372
Sweden_a;2004;2;1;0;1;1.944
Sweden_b;2004;1;1;0;1;2.039
Belgium;2005;3;1;0;1;3.379
France;2005;2;1;0;1;2.264
Iceland_a;2005;3;1;0;1;1.686
Norway_a;2005;2;1;0;1;1.902
Sweden_a;2005;3;1;0;1;1.492
Sweden_b;2005;2;1;0;1;0.951
France;2006;3;1;0;1;1.61
Norway_a;2006;3;1;0;1;2.273
Sweden_b;2006;3;1;0;1;0.971
Belgium;2003;1;1;0;1;2.052
Iceland_a;2003;1;1;0;1;1.075
Sweden_a;2003;1;1;0;1;4.355
Belgium;2004;2;1;0;1;4.104
France;2004;1;1;0;1;1.718
Iceland_a;2004;2;1;0;1;0.899
Norway_a;2004;1;1;0;1;4.142
Sweden_a;2004;2;1;0;1;3.724
Sweden_b;2004;1;1;0;1;1.637
Belgium;2005;3;1;0;1;3.448
France;2005;2;1;0;1;2.982
Iceland_a;2005;3;1;0;1;0.968
Norway_a;2005;2;1;0;1;4.58
Sweden_a;2005;3;1;0;1;3.404
Sweden_b;2005;2;1;0;1;0.831
France;2006;3;1;0;1;1.942
Norway_a;2006;3;1;0;1;4.673
Sweden_b;2006;3;1;0;1;0.766
Belgium;2003;1;0;1;1;3.759
Iceland_a;2003;1;0;1;1;1.683
Sweden_a;2003;1;0;1;1;2.672
Belgium;2004;2;0;1;1;6.147
France;2004;1;0;1;1;4.195
Iceland_a;2004;2;0;1;1;0.917
Norway_a;2004;1;0;1;1;4.944
Sweden_a;2004;2;0;1;1;1.917
Sweden_b;2004;1;0;1;1;3.4
Belgium;2005;3;0;1;1;3.693
France;2005;2;0;1;1;6.515
Iceland_a;2005;3;0;1;1;1.297
Norway_a;2005;2;0;1;1;2.028
Sweden_a;2005;3;0;1;1;1.177
Sweden_b;2005;2;0;1;1;1.9
France;2006;3;0;1;1;4.982
Norway_a;2006;3;0;1;1;1.489
Sweden_b;2006;3;0;1;1;1.181
Belgium;2003;1;0;1;1;3.873
Iceland_a;2003;1;0;1;1;0.919
Sweden_a;2003;1;0;1;1;3.229
Belgium;2004;2;0;1;1;6.63
France;2004;1;0;1;1;3.748
Iceland_a;2004;2;0;1;1;0.806
Norway_a;2004;1;0;1;1;5.19
Sweden_a;2004;2;0;1;1;2.714
Sweden_b;2004;1;0;1;1;3.787
Belgium;2005;3;0;1;1;3.275
France;2005;2;0;1;1;5.787
Iceland_a;2005;3;0;1;1;0.77
Norway_a;2005;2;0;1;1;2.868
Sweden_a;2005;3;0;1;1;1.876
Sweden_b;2005;2;0;1;1;1.923
France;2006;3;0;1;1;4.835
Norway_a;2006;3;0;1;1;1.881
Sweden_b;2006;3;0;1;1;1.236
Belgium;2003;1;0.8;0.2;2.56;4.08
Iceland_a;2003;1;0.8;0.2;2.56;3.544
Sweden_a;2003;1;0.8;0.2;2.56;2.988
Belgium;2004;2;0.8;0.2;2.56;7.112
France;2004;1;0.8;0.2;2.56;3.284
Iceland_a;2004;2;0.8;0.2;2.56;1.874
Norway_a;2004;1;0.8;0.2;2.56;3.467
Sweden_a;2004;2;0.8;0.2;2.56;3.515
Sweden_b;2004;1;0.8;0.2;2.56;2.768
Belgium;2005;3;0.8;0.2;2.56;4.13
France;2005;2;0.8;0.2;2.56;5.056
Iceland_a;2005;3;0.8;0.2;2.56;1.656
Norway_a;2005;2;0.8;0.2;2.56;2.74
Sweden_a;2005;3;0.8;0.2;2.56;3.007
Sweden_b;2005;2;0.8;0.2;2.56;2.377
France;2006;3;0.8;0.2;2.56;4.297
Norway_a;2006;3;0.8;0.2;2.56;3.103
Sweden_b;2006;3;0.8;0.2;2.56;1.709
Belgium;2003;1;0.8;0.2;2.56;4.073
Iceland_a;2003;1;0.8;0.2;2.56;1.642
Sweden_a;2003;1;0.8;0.2;2.56;3.907
Belgium;2004;2;0.8;0.2;2.56;6.581
France;2004;1;0.8;0.2;2.56;2.171
Iceland_a;2004;2;0.8;0.2;2.56;1.212
Norway_a;2004;1;0.8;0.2;2.56;5.2
Sweden_a;2004;2;0.8;0.2;2.56;4.088
Sweden_b;2004;1;0.8;0.2;2.56;2.751
Belgium;2005;3;0.8;0.2;2.56;4.314
France;2005;2;0.8;0.2;2.56;3.397
Iceland_a;2005;3;0.8;0.2;2.56;1.351
Norway_a;2005;2;0.8;0.2;2.56;5.001
Sweden_a;2005;3;0.8;0.2;2.56;3.525
Sweden_b;2005;2;0.8;0.2;2.56;2.81
France;2006;3;0.8;0.2;2.56;2.5
Norway_a;2006;3;0.8;0.2;2.56;4.502
Sweden_b;2006;3;0.8;0.2;2.56;2.228
Belgium;2003;1;0.8;0.2;3.3;4.033
Iceland_a;2003;1;0.8;0.2;3.3;2.438
Sweden_a;2003;1;0.8;0.2;3.3;3.084
Belgium;2004;2;0.8;0.2;3.3;6.758
France;2004;1;0.8;0.2;3.3;3.706
Iceland_a;2004;2;0.8;0.2;3.3;1.5
Norway_a;2004;1;0.8;0.2;3.3;4.001
Sweden_a;2004;2;0.8;0.2;3.3;3.479
Sweden_b;2004;1;0.8;0.2;3.3;3.186
Belgium;2005;3;0.8;0.2;3.3;4.764
France;2005;2;0.8;0.2;3.3;5.674
Iceland_a;2005;3;0.8;0.2;3.3;1.777
Norway_a;2005;2;0.8;0.2;3.3;3.03
Sweden_a;2005;3;0.8;0.2;3.3;3.004
Sweden_b;2005;2;0.8;0.2;3.3;2.578
France;2006;3;0.8;0.2;3.3;4.901
Norway_a;2006;3;0.8;0.2;3.3;3.309
Sweden_b;2006;3;0.8;0.2;3.3;1.807
Belgium;2003;1;0.8;0.2;2.56;3.493
Iceland_a;2003;1;0.8;0.2;2.56;2.928
Sweden_a;2003;1;0.8;0.2;2.56;3.137
Belgium;2004;2;0.8;0.2;2.56;6.476
France;2004;1;0.8;0.2;2.56;3.297
Iceland_a;2004;2;0.8;0.2;2.56;2.111
Norway_a;2004;1;0.8;0.2;2.56;4.144
Sweden_a;2004;2;0.8;0.2;2.56;3.58
Sweden_b;2004;1;0.8;0.2;2.56;2.694
Belgium;2005;3;0.8;0.2;2.56;4.616
France;2005;2;0.8;0.2;2.56;5.439
Iceland_a;2005;3;0.8;0.2;2.56;1.944
Norway_a;2005;2;0.8;0.2;2.56;2.959
Sweden_a;2005;3;0.8;0.2;2.56;3.059
Sweden_b;2005;2;0.8;0.2;2.56;2.064
France;2006;3;0.8;0.2;2.56;4.355
Norway_a;2006;3;0.8;0.2;2.56;3.212
Sweden_b;2006;3;0.8;0.2;2.56;1.456
Belgium;2003;1;0.8;0.2;2.56;3.407
Iceland_a;2003;1;0.8;0.2;2.56;1.234
Sweden_a;2003;1;0.8;0.2;2.56;4.171
Belgium;2004;2;0.8;0.2;2.56;6.539
France;2004;1;0.8;0.2;2.56;3.452
Iceland_a;2004;2;0.8;0.2;2.56;0.709
Norway_a;2004;1;0.8;0.2;2.56;5.228
Sweden_a;2004;2;0.8;0.2;2.56;4.193
Sweden_b;2004;1;0.8;0.2;2.56;3.123
Belgium;2005;3;0.8;0.2;2.56;4.873
France;2005;2;0.8;0.2;2.56;5.573
Iceland_a;2005;3;0.8;0.2;2.56;1.077
Norway_a;2005;2;0.8;0.2;2.56;4.683
Sweden_a;2005;3;0.8;0.2;2.56;3.422
Sweden_b;2005;2;0.8;0.2;2.56;2.881
France;2006;3;0.8;0.2;2.56;4.338
Norway_a;2006;3;0.8;0.2;2.56;4.73
Sweden_b;2006;3;0.8;0.2;2.56;2.348
Belgium;2003;1;0.5;0.5;3.3;4.364
Iceland_a;2003;1;0.5;0.5;3.3;2.186
Sweden_a;2003;1;0.5;0.5;3.3;3.261
Belgium;2004;2;0.5;0.5;3.3;7.282
France;2004;1;0.5;0.5;3.3;4.373
Iceland_a;2004;2;0.5;0.5;3.3;1.462
Norway_a;2004;1;0.5;0.5;3.3;5.099
Sweden_a;2004;2;0.5;0.5;3.3;3.164
Sweden_b;2004;1;0.5;0.5;3.3;3.682
Belgium;2005;3;0.5;0.5;3.3;4.598
France;2005;2;0.5;0.5;3.3;6.617
Iceland_a;2005;3;0.5;0.5;3.3;1.67
Norway_a;2005;2;0.5;0.5;3.3;3.347
Sweden_a;2005;3;0.5;0.5;3.3;2.622
Sweden_b;2005;2;0.5;0.5;3.3;2.85
France;2006;3;0.5;0.5;3.3;5.453
Norway_a;2006;3;0.5;0.5;3.3;3.236
Sweden_b;2006;3;0.5;0.5;3.3;1.907
Belgium;2003;1;0.5;0.5;3.3;3.818
Iceland_a;2003;1;0.5;0.5;3.3;3.035
Sweden_a;2003;1;0.5;0.5;3.3;3.388
Belgium;2004;2;0.5;0.5;3.3;6.921
France;2004;1;0.5;0.5;3.3;2.894
Iceland_a;2004;2;0.5;0.5;3.3;2.116
Norway_a;2004;1;0.5;0.5;3.3;4.545
Sweden_a;2004;2;0.5;0.5;3.3;3.589
Sweden_b;2004;1;0.5;0.5;3.3;3.587
Belgium;2005;3;0.5;0.5;3.3;4.379
France;2005;2;0.5;0.5;3.3;4.547
Iceland_a;2005;3;0.5;0.5;3.3;1.915
Norway_a;2005;2;0.5;0.5;3.3;2.992
Sweden_a;2005;3;0.5;0.5;3.3;3.051
Sweden_b;2005;2;0.5;0.5;3.3;3.133
France;2006;3;0.5;0.5;3.3;3.821
Norway_a;2006;3;0.5;0.5;3.3;2.426
Sweden_b;2006;3;0.5;0.5;3.3;1.978
Belgium;2003;1;0.2;0.8;2.56;3.944
Iceland_a;2003;1;0.2;0.8;2.56;2.062
Sweden_a;2003;1;0.2;0.8;2.56;3.386
Belgium;2004;2;0.2;0.8;2.56;7.091
France;2004;1;0.2;0.8;2.56;4.065
Iceland_a;2004;2;0.2;0.8;2.56;1.631
Norway_a;2004;1;0.2;0.8;2.56;5.519
Sweden_a;2004;2;0.2;0.8;2.56;3.067
Sweden_b;2004;1;0.2;0.8;2.56;4.045
Belgium;2005;3;0.2;0.8;2.56;4.741
France;2005;2;0.2;0.8;2.56;6.333
Iceland_a;2005;3;0.2;0.8;2.56;1.676
Norway_a;2005;2;0.2;0.8;2.56;2.792
Sweden_a;2005;3;0.2;0.8;2.56;2.947
Sweden_b;2005;2;0.2;0.8;2.56;3.394
France;2006;3;0.2;0.8;2.56;5.176
Norway_a;2006;3;0.2;0.8;2.56;2.917
Sweden_b;2006;3;0.2;0.8;2.56;2.12
Belgium;2003;1;0.2;0.8;2.56;3.867
Iceland_a;2003;1;0.2;0.8;2.56;1.645
Sweden_a;2003;1;0.2;0.8;2.56;4.835
Belgium;2004;2;0.2;0.8;2.56;6.982
France;2004;1;0.2;0.8;2.56;3.289
Iceland_a;2004;2;0.2;0.8;2.56;1.05
Norway_a;2004;1;0.2;0.8;2.56;5.532
Sweden_a;2004;2;0.2;0.8;2.56;4.621
Sweden_b;2004;1;0.2;0.8;2.56;4.084
Belgium;2005;3;0.2;0.8;2.56;4.683
France;2005;2;0.2;0.8;2.56;5.155
Iceland_a;2005;3;0.2;0.8;2.56;1.107
Norway_a;2005;2;0.2;0.8;2.56;4.662
Sweden_a;2005;3;0.2;0.8;2.56;3.796
Sweden_b;2005;2;0.2;0.8;2.56;3.102
France;2006;3;0.2;0.8;2.56;3.946
Norway_a;2006;3;0.2;0.8;2.56;4.596
Sweden_b;2006;3;0.2;0.8;2.56;2.398
Belgium;2003;1;0.5;0.5;4;4.265
Iceland_a;2003;1;0.5;0.5;4;2.231
Sweden_a;2003;1;0.5;0.5;4;3.681
Belgium;2004;2;0.5;0.5;4;6.857
France;2004;1;0.5;0.5;4;2.809
Iceland_a;2004;2;0.5;0.5;4;2.027
Norway_a;2004;1;0.5;0.5;4;5.142
Sweden_a;2004;2;0.5;0.5;4;3.644
Sweden_b;2004;1;0.5;0.5;4;3.576
Belgium;2005;3;0.5;0.5;4;4.74
France;2005;2;0.5;0.5;4;4.541
Iceland_a;2005;3;0.5;0.5;4;1.964
Norway_a;2005;2;0.5;0.5;4;3.015
Sweden_a;2005;3;0.5;0.5;4;3.116
Sweden_b;2005;2;0.5;0.5;4;2.728
France;2006;3;0.5;0.5;4;3.266
Norway_a;2006;3;0.5;0.5;4;3.386
Sweden_b;2006;3;0.5;0.5;4;1.927
Belgium;2003;1;0.5;0.5;4;4.003
Iceland_a;2003;1;0.5;0.5;4;1.531
Sweden_a;2003;1;0.5;0.5;4;4.299
Belgium;2004;2;0.5;0.5;4;6.704
France;2004;1;0.5;0.5;4;4.055
Iceland_a;2004;2;0.5;0.5;4;1.106
Norway_a;2004;1;0.5;0.5;4;5.571
Sweden_a;2004;2;0.5;0.5;4;4.396
Sweden_b;2004;1;0.5;0.5;4;3.5
Belgium;2005;3;0.5;0.5;4;4.54
France;2005;2;0.5;0.5;4;6.391
Iceland_a;2005;3;0.5;0.5;4;1.345
Norway_a;2005;2;0.5;0.5;4;4.747
Sweden_a;2005;3;0.5;0.5;4;3.844
Sweden_b;2005;2;0.5;0.5;4;2.961
France;2006;3;0.5;0.5;4;5.358
Norway_a;2006;3;0.5;0.5;4;4.333
Sweden_b;2006;3;0.5;0.5;4;1.911
Belgium;2003;1;0.5;0.5;3.3;4.114
Iceland_a;2003;1;0.5;0.5;3.3;2.522
Sweden_a;2003;1;0.5;0.5;3.3;3.37
Belgium;2004;2;0.5;0.5;3.3;6.879
France;2004;1;0.5;0.5;3.3;3.18
Iceland_a;2004;2;0.5;0.5;3.3;1.741
Norway_a;2004;1;0.5;0.5;3.3;4.181
Sweden_a;2004;2;0.5;0.5;3.3;3.55
Sweden_b;2004;1;0.5;0.5;3.3;3.577
Belgium;2005;3;0.5;0.5;3.3;4.956
France;2005;2;0.5;0.5;3.3;4.965
Iceland_a;2005;3;0.5;0.5;3.3;1.785
Norway_a;2005;2;0.5;0.5;3.3;3.088
Sweden_a;2005;3;0.5;0.5;3.3;3.177
Sweden_b;2005;2;0.5;0.5;3.3;3.002
France;2006;3;0.5;0.5;3.3;3.981
Norway_a;2006;3;0.5;0.5;3.3;3.412
Sweden_b;2006;3;0.5;0.5;3.3;2.25
Belgium;2003;1;0.5;0.5;3.3;3.395
Iceland_a;2003;1;0.5;0.5;3.3;2.909
Sweden_a;2003;1;0.5;0.5;3.3;3.513
Belgium;2004;2;0.5;0.5;3.3;6.673
France;2004;1;0.5;0.5;3.3;2.895
Iceland_a;2004;2;0.5;0.5;3.3;2.03
Norway_a;2004;1;0.5;0.5;3.3;4.091
Sweden_a;2004;2;0.5;0.5;3.3;3.848
Sweden_b;2004;1;0.5;0.5;3.3;3.302
Belgium;2005;3;0.5;0.5;3.3;4.551
France;2005;2;0.5;0.5;3.3;4.816
Iceland_a;2005;3;0.5;0.5;3.3;1.9
Norway_a;2005;2;0.5;0.5;3.3;3.044
Sweden_a;2005;3;0.5;0.5;3.3;3.298
Sweden_b;2005;2;0.5;0.5;3.3;2.939
France;2006;3;0.5;0.5;3.3;3.699
Norway_a;2006;3;0.5;0.5;3.3;3.347
Sweden_b;2006;3;0.5;0.5;3.3;1.987
Belgium;2003;1;0.2;0.8;3.3;4.047
Iceland_a;2003;1;0.2;0.8;3.3;2.316
Sweden_a;2003;1;0.2;0.8;3.3;3.443
Belgium;2004;2;0.2;0.8;3.3;6.871
France;2004;1;0.2;0.8;3.3;2.736
Iceland_a;2004;2;0.2;0.8;3.3;1.669
Norway_a;2004;1;0.2;0.8;3.3;4.721
Sweden_a;2004;2;0.2;0.8;3.3;3.871
Sweden_b;2004;1;0.2;0.8;3.3;3.726
Belgium;2005;3;0.2;0.8;3.3;4.34
France;2005;2;0.2;0.8;3.3;4.212
Iceland_a;2005;3;0.2;0.8;3.3;1.532
Norway_a;2005;2;0.2;0.8;3.3;2.68
Sweden_a;2005;3;0.2;0.8;3.3;3.21
Sweden_b;2005;2;0.2;0.8;3.3;3.16
France;2006;3;0.2;0.8;3.3;3.466
Norway_a;2006;3;0.2;0.8;3.3;2.435
Sweden_b;2006;3;0.2;0.8;3.3;2.24
Belgium;2003;1;0.2;0.8;2.56;4.042
Iceland_a;2003;1;0.2;0.8;2.56;2.704
Sweden_a;2003;1;0.2;0.8;2.56;3.67
Belgium;2004;2;0.2;0.8;2.56;6.517
France;2004;1;0.2;0.8;2.56;2.84
Iceland_a;2004;2;0.2;0.8;2.56;1.899
Norway_a;2004;1;0.2;0.8;2.56;4.461
Sweden_a;2004;2;0.2;0.8;2.56;3.552
Sweden_b;2004;1;0.2;0.8;2.56;3.71
Belgium;2005;3;0.2;0.8;2.56;4.434
France;2005;2;0.2;0.8;2.56;4.642
Iceland_a;2005;3;0.2;0.8;2.56;1.634
Norway_a;2005;2;0.2;0.8;2.56;2.692
Sweden_a;2005;3;0.2;0.8;2.56;3.238
Sweden_b;2005;2;0.2;0.8;2.56;3.09
France;2006;3;0.2;0.8;2.56;3.54
Norway_a;2006;3;0.2;0.8;2.56;3.177
Sweden_b;2006;3;0.2;0.8;2.56;2.402
Belgium;2003;1;0.2;0.8;2.56;3.567
Iceland_a;2003;1;0.2;0.8;2.56;1.32
Sweden_a;2003;1;0.2;0.8;2.56;4.411
Belgium;2004;2;0.2;0.8;2.56;6.8
France;2004;1;0.2;0.8;2.56;4.103
Iceland_a;2004;2;0.2;0.8;2.56;0.892
Norway_a;2004;1;0.2;0.8;2.56;5.56
Sweden_a;2004;2;0.2;0.8;2.56;4.354
Sweden_b;2004;1;0.2;0.8;2.56;3.742
Belgium;2005;3;0.2;0.8;2.56;4.393
France;2005;2;0.2;0.8;2.56;6.612
Iceland_a;2005;3;0.2;0.8;2.56;1.201
Norway_a;2005;2;0.2;0.8;2.56;5.014
Sweden_a;2005;3;0.2;0.8;2.56;3.939
Sweden_b;2005;2;0.2;0.8;2.56;3.445
France;2006;3;0.2;0.8;2.56;4.985
Norway_a;2006;3;0.2;0.8;2.56;4.419
Sweden_b;2006;3;0.2;0.8;2.56;2.48
Belgium;2003;1;0;1;1;2.624
Iceland_a;2003;1;0;1;1;1.339
Sweden_a;2003;1;0;1;1;2.448
Belgium;2004;2;0;1;1;2.792
France;2004;1;0;1;1;3.069
Iceland_a;2004;2;0;1;1;1.69
Norway_a;2004;1;0;1;1;2.864
Sweden_a;2004;2;0;1;1;2.42
Sweden_b;2004;1;0;1;1;2.764
Belgium;2005;3;0;1;1;2.245
France;2005;2;0;1;1;4.727
Iceland_a;2005;3;0;1;1;1.659
Norway_a;2005;2;0;1;1;1.937
Sweden_a;2005;3;0;1;1;2.262
Sweden_b;2005;2;0;1;1;2.057
France;2006;3;0;1;1;4.004
Norway_a;2006;3;0;1;1;1.743
Sweden_b;2006;3;0;1;1;1.217
Belgium;2003;1;0;1;1;2.342
Iceland_a;2003;1;0;1;1;1.165
Sweden_a;2003;1;0;1;1;2.42
Belgium;2004;2;0;1;1;3.015
France;2004;1;0;1;1;3.377
Iceland_a;2004;2;0;1;1;0.965
Norway_a;2004;1;0;1;1;3.235
Sweden_a;2004;2;0;1;1;2.546
Sweden_b;2004;1;0;1;1;2.516
Belgium;2005;3;0;1;1;2.661
France;2005;2;0;1;1;5.25
Iceland_a;2005;3;0;1;1;1.223
Norway_a;2005;2;0;1;1;2.291
Sweden_a;2005;3;0;1;1;2.234
Sweden_b;2005;2;0;1;1;2.222
France;2006;3;0;1;1;4.407
Norway_a;2006;3;0;1;1;2.111
Sweden_b;2006;3;0;1;1;1.48
